SA2_NAME21,avg_affordability_ratio
Yarriambiack,0.2570581127100956
Loddon,0.2629733134857382
Highton,0.3163353585221928
Belgrave - Selby,0.3248497569873929
Sunshine West,0.32722675326606887
Hamilton (Vic.),0.3278718485283233
Nhill Region,0.3295120128375489
Mildura Surrounds,0.330788168825834
Ballarat,0.3310331887576041
Kerang,0.3367886891348257
